RELIG,CHILDS,AGEKDBRN,EDUC,HAPPY,ATTEND,GOD,INCOME16,FAMGEN,RELIG16,RELITEN,DEGREE,AGE,SEX,RACE,MARITAL,POLVIEWS,HRS1
NONE,0.0,,9.0,3.0,About once a month,3.0,16.0,2.0,CHRISTIAN,No religion,High school,30.0,1.0,1.0,5.0,,
NONE,0.0,,13.0,2.0,Never,3.0,13.0,1.0,NONE,No religion,Less than high school,24.0,2.0,1.0,5.0,3.0,15.0
PROTESTANT,0.0,,12.0,2.0,About once or twice a year,3.0,,1.0,PROTESTANT,Not very strong,High school,57.0,1.0,1.0,5.0,4.0,1.0
NONE,0.0,,12.0,3.0,Never,1.0,13.0,1.0,NONE,No religion,High school,19.0,1.0,1.0,5.0,4.0,20.0
NONE,0.0,,11.0,2.0,Never,2.0,18.0,1.0,NONE,No religion,High school,55.0,1.0,1.0,5.0,4.0,50.0
PROTESTANT,3.0,21.0,12.0,2.0,About once a month,3.0,19.0,2.0,PROTESTANT,Not very strong,High school,75.0,2.0,2.0,3.0,7.0,32.0
PROTESTANT,1.0,21.0,13.0,2.0,About once or twice a year,6.0,24.0,1.0,PROTESTANT,Not very strong,High school,50.0,1.0,2.0,1.0,4.0,60.0
PROTESTANT,3.0,25.0,17.0,2.0,Never,6.0,20.0,1.0,CATHOLIC,Not very strong,Associate/junior college,70.0,1.0,1.0,1.0,6.0,40.0
CATHOLIC,2.0,25.0,18.0,2.0,About once a month,5.0,16.0,1.0,CATHOLIC,Strong,Bachelor's,65.0,1.0,1.0,3.0,3.0,
NONE,1.0,27.0,16.0,2.0,Never,1.0,13.0,2.0,PROTESTANT,No religion,Bachelor's,28.0,2.0,1.0,1.0,2.0,40.0
NONE,5.0,19.0,12.0,2.0,Never,1.0,22.0,2.0,PROTESTANT,No religion,High school,57.0,2.0,1.0,1.0,3.0,50.0
PROTESTANT,5.0,27.0,18.0,2.0,Several times a year,6.0,17.0,2.0,PROTESTANT,Strong,Bachelor's,48.0,1.0,1.0,1.0,4.0,
NONE,0.0,,12.0,1.0,Never,1.0,,2.0,CATHOLIC,No religion,High school,18.0,2.0,1.0,5.0,2.0,40.0
PROTESTANT,0.0,,15.0,2.0,2-3 times a month,5.0,18.0,1.0,NONE,Strong,High school,27.0,1.0,1.0,1.0,5.0,40.0
OTHER,0.0,,12.0,1.0,Never,3.0,15.0,2.0,CATHOLIC,Not very strong,High school,41.0,1.0,1.0,1.0,2.0,10.0
PROTESTANT,0.0,,18.0,2.0,Never,6.0,26.0,1.0,PROTESTANT,Not very strong,Graduate,69.0,2.0,1.0,5.0,4.0,
PROTESTANT,1.0,23.0,15.0,2.0,Nearly every week,6.0,15.0,1.0,PROTESTANT,Not very strong,High school,32.0,2.0,2.0,5.0,3.0,
CATHOLIC,0.0,,12.0,1.0,Several times a year,4.0,1.0,2.0,CATHOLIC,Not very strong,High school,21.0,2.0,2.0,5.0,4.0,
NONE,1.0,25.0,12.0,2.0,Never,3.0,15.0,2.0,PROTESTANT,No religion,High school,30.0,2.0,2.0,5.0,4.0,40.0
CATHOLIC,6.0,19.0,12.0,2.0,Several times a year,6.0,9.0,1.0,NONE,Not very strong,High school,66.0,2.0,1.0,3.0,3.0,
NONE,2.0,21.0,15.0,2.0,Never,6.0,17.0,1.0,PROTESTANT,No religion,High school,59.0,2.0,3.0,3.0,4.0,60.0
CATHOLIC,1.0,20.0,12.0,2.0,Every week,6.0,16.0,2.0,CATHOLIC,Strong,High school,22.0,2.0,3.0,5.0,4.0,40.0
NONE,0.0,,16.0,2.0,Never,1.0,16.0,1.0,NONE,No religion,Associate/junior college,31.0,1.0,1.0,5.0,2.0,40.0
MUSLIM/ISLAM,3.0,25.0,16.0,3.0,Never,6.0,16.0,3.0,MUSLIM/ISLAM,Not very strong,Bachelor's,50.0,2.0,1.0,3.0,4.0,
PROTESTANT,0.0,,15.0,2.0,About once or twice a year,3.0,12.0,1.0,NONE,Not very strong,High school,21.0,1.0,1.0,5.0,6.0,36.0
PROTESTANT,0.0,,16.0,1.0,Several times a week,6.0,19.0,1.0,PROTESTANT,Strong,Bachelor's,29.0,1.0,1.0,1.0,3.0,40.0
CATHOLIC,0.0,,15.0,2.0,Never,6.0,4.0,1.0,CATHOLIC,Not very strong,High school,21.0,2.0,1.0,5.0,4.0,24.0
NONE,0.0,,15.0,3.0,Never,3.0,20.0,1.0,NONE,No religion,High school,21.0,2.0,3.0,5.0,1.0,
CATHOLIC,0.0,,17.0,2.0,Every week,5.0,14.0,1.0,CATHOLIC,Strong,Bachelor's,25.0,1.0,1.0,5.0,2.0,35.0
PROTESTANT,0.0,,16.0,2.0,Several times a year,5.0,21.0,1.0,PROTESTANT,Not very strong,Associate/junior college,22.0,1.0,1.0,5.0,5.0,
PROTESTANT,0.0,,14.0,2.0,Several times a year,3.0,26.0,1.0,NONE,Not very strong,High school,21.0,1.0,1.0,5.0,2.0,
NONE,0.0,,15.0,3.0,Never,5.0,10.0,1.0,PROTESTANT,No religion,High school,21.0,1.0,1.0,5.0,3.0,
PROTESTANT,2.0,36.0,16.0,2.0,Several times a year,5.0,26.0,2.0,PROTESTANT,Not very strong,Bachelor's,55.0,1.0,1.0,1.0,2.0,40.0
PROTESTANT,8.0,23.0,20.0,2.0,Every week,6.0,21.0,5.0,PROTESTANT,Strong,Graduate,63.0,1.0,1.0,1.0,4.0,80.0
PROTESTANT,1.0,23.0,12.0,1.0,Nearly every week,6.0,19.0,1.0,PROTESTANT,Strong,High school,86.0,2.0,1.0,2.0,6.0,
PROTESTANT,4.0,19.0,8.0,1.0,Never,6.0,23.0,2.0,NONE,Not very strong,Less than high school,40.0,1.0,1.0,1.0,4.0,60.0
NONE,3.0,30.0,12.0,3.0,About once or twice a year,6.0,18.0,2.0,CATHOLIC,No religion,High school,42.0,1.0,3.0,1.0,6.0,70.0
PROTESTANT,2.0,19.0,12.0,3.0,Several times a year,6.0,14.0,1.0,PROTESTANT,Not very strong,High school,64.0,2.0,1.0,4.0,6.0,
JEWISH,3.0,26.0,20.0,1.0,2-3 times a month,3.0,26.0,1.0,PROTESTANT,Not very strong,Bachelor's,72.0,2.0,1.0,3.0,2.0,
JEWISH,2.0,28.0,16.0,2.0,Never,1.0,15.0,1.0,JEWISH,Not very strong,Associate/junior college,84.0,1.0,1.0,1.0,2.0,
PROTESTANT,2.0,21.0,14.0,1.0,2-3 times a month,6.0,17.0,1.0,PROTESTANT,Somewhat strong (vol.),Associate/junior college,30.0,2.0,2.0,5.0,3.0,40.0
NONE,0.0,,12.0,2.0,About once or twice a year,2.0,13.0,1.0,CATHOLIC,No religion,High school,33.0,1.0,1.0,5.0,1.0,40.0
JEWISH,2.0,25.0,14.0,2.0,About once a month,5.0,17.0,1.0,JEWISH,Strong,High school,76.0,1.0,1.0,2.0,6.0,
HINDUISM,0.0,,19.0,2.0,Never,2.0,20.0,1.0,HINDUISM,Not very strong,Graduate,28.0,1.0,3.0,5.0,4.0,40.0
PROTESTANT,0.0,,16.0,1.0,Never,6.0,15.0,1.0,PROTESTANT,Strong,Bachelor's,23.0,2.0,2.0,5.0,4.0,
CATHOLIC,3.0,18.0,12.0,2.0,Less than once a year,6.0,19.0,2.0,CATHOLIC,Not very strong,Less than high school,30.0,2.0,1.0,1.0,5.0,
CATHOLIC,0.0,,12.0,2.0,2-3 times a month,6.0,13.0,2.0,CATHOLIC,Not very strong,High school,29.0,2.0,3.0,5.0,4.0,36.0
OTHER,0.0,,11.0,2.0,Never,5.0,,2.0,PROTESTANT,Somewhat strong (vol.),Less than high school,23.0,1.0,1.0,3.0,4.0,60.0
NONE,0.0,,17.0,3.0,Never,6.0,10.0,1.0,JEWISH,No religion,Bachelor's,85.0,1.0,1.0,5.0,4.0,89.0
PROTESTANT,0.0,,9.0,2.0,Every week,6.0,22.0,1.0,CATHOLIC,Strong,Less than high school,58.0,1.0,3.0,1.0,,
NONE,1.0,30.0,13.0,3.0,Never,1.0,23.0,2.0,CATHOLIC,No religion,High school,86.0,1.0,1.0,2.0,4.0,
PROTESTANT,6.0,26.0,17.0,1.0,Every week,6.0,24.0,2.0,PROTESTANT,Strong,Graduate,82.0,1.0,1.0,1.0,6.0,
PROTESTANT,8.0,18.0,12.0,1.0,2-3 times a month,5.0,14.0,2.0,PROTESTANT,Strong,High school,50.0,1.0,2.0,1.0,4.0,40.0
NONE,1.0,30.0,13.0,2.0,Every week,3.0,22.0,1.0,CATHOLIC,No religion,High school,55.0,1.0,2.0,5.0,1.0,40.0
CATHOLIC,3.0,17.0,16.0,1.0,Several times a year,6.0,22.0,1.0,CATHOLIC,Somewhat strong (vol.),Bachelor's,41.0,2.0,3.0,3.0,4.0,32.0
NONE,0.0,,14.0,2.0,Less than once a year,3.0,22.0,1.0,CATHOLIC,No religion,High school,22.0,1.0,3.0,5.0,3.0,33.0
PROTESTANT,3.0,24.0,14.0,1.0,Several times a week,6.0,23.0,1.0,PROTESTANT,Strong,Associate/junior college,28.0,1.0,1.0,1.0,7.0,40.0
PROTESTANT,5.0,19.0,12.0,2.0,Several times a week,6.0,16.0,1.0,PROTESTANT,Strong,High school,87.0,2.0,2.0,3.0,3.0,
CATHOLIC,3.0,18.0,16.0,2.0,Nearly every week,5.0,23.0,1.0,CATHOLIC,Somewhat strong (vol.),Bachelor's,64.0,1.0,3.0,1.0,6.0,2.0
CATHOLIC,0.0,,11.0,2.0,Nearly every week,5.0,26.0,6.0,CATHOLIC,Strong,Less than high school,18.0,2.0,1.0,5.0,4.0,
PROTESTANT,1.0,31.0,12.0,2.0,Never,6.0,,1.0,PROTESTANT,Somewhat strong (vol.),High school,73.0,2.0,1.0,1.0,2.0,
CATHOLIC,0.0,,13.0,1.0,Never,2.0,,1.0,CATHOLIC,Not very strong,High school,68.0,2.0,1.0,1.0,4.0,
PROTESTANT,3.0,17.0,20.0,1.0,Never,5.0,26.0,2.0,PROTESTANT,Not very strong,Graduate,51.0,2.0,1.0,1.0,6.0,1.0
BUDDHISM,2.0,24.0,16.0,1.0,Never,3.0,23.0,1.0,CATHOLIC,Not very strong,Bachelor's,67.0,1.0,1.0,1.0,4.0,50.0
BUDDHISM,5.0,23.0,16.0,1.0,Never,3.0,26.0,2.0,ORTHODOX-CHRISTIAN,Strong,Bachelor's,81.0,1.0,1.0,2.0,2.0,
PROTESTANT,4.0,24.0,16.0,2.0,Several times a year,6.0,26.0,2.0,PROTESTANT,Not very strong,Bachelor's,70.0,1.0,1.0,3.0,4.0,
CATHOLIC,1.0,32.0,12.0,1.0,Several times a year,2.0,21.0,1.0,PROTESTANT,Not very strong,High school,63.0,1.0,1.0,1.0,6.0,
PROTESTANT,3.0,27.0,12.0,2.0,Every week,6.0,18.0,1.0,PROTESTANT,Strong,High school,71.0,2.0,1.0,1.0,6.0,
CATHOLIC,2.0,29.0,16.0,1.0,About once a month,5.0,26.0,2.0,CATHOLIC,Not very strong,Bachelor's,34.0,1.0,1.0,1.0,5.0,50.0
PROTESTANT,3.0,28.0,16.0,1.0,Every week,6.0,19.0,1.0,PROTESTANT,Strong,Bachelor's,86.0,1.0,1.0,2.0,4.0,3.0
NONE,0.0,,12.0,3.0,Never,3.0,18.0,1.0,CATHOLIC,No religion,High school,39.0,2.0,1.0,5.0,3.0,40.0
PROTESTANT,1.0,30.0,12.0,3.0,Never,3.0,19.0,1.0,PROTESTANT,Strong,High school,47.0,1.0,1.0,3.0,4.0,
CHRISTIAN,2.0,15.0,18.0,2.0,Never,5.0,24.0,2.0,PROTESTANT,Not very strong,Bachelor's,33.0,2.0,2.0,1.0,4.0,50.0
NONE,0.0,,16.0,2.0,Never,2.0,17.0,1.0,NONE,No religion,Bachelor's,31.0,1.0,3.0,2.0,3.0,42.0
PROTESTANT,1.0,33.0,12.0,2.0,About once a month,6.0,26.0,1.0,PROTESTANT,Strong,High school,57.0,2.0,1.0,1.0,5.0,
CATHOLIC,1.0,24.0,13.0,2.0,Several times a year,6.0,20.0,2.0,CATHOLIC,Strong,High school,35.0,1.0,1.0,1.0,4.0,40.0
PROTESTANT,2.0,30.0,12.0,2.0,Never,3.0,20.0,2.0,PROTESTANT,Not very strong,High school,65.0,2.0,1.0,2.0,1.0,
CATHOLIC,0.0,,12.0,3.0,Never,5.0,16.0,1.0,CATHOLIC,Not very strong,High school,69.0,1.0,1.0,5.0,4.0,
NONE,2.0,18.0,12.0,3.0,About once or twice a year,6.0,3.0,1.0,PROTESTANT,No religion,High school,59.0,2.0,2.0,3.0,1.0,
NONE,2.0,32.0,13.0,2.0,Never,2.0,24.0,1.0,CATHOLIC,No religion,High school,35.0,1.0,1.0,1.0,2.0,62.0
PROTESTANT,0.0,,13.0,3.0,Every week,5.0,15.0,1.0,PROTESTANT,Not very strong,High school,37.0,1.0,1.0,5.0,6.0,22.0
PROTESTANT,2.0,25.0,12.0,2.0,Several times a year,6.0,26.0,2.0,PROTESTANT,Strong,High school,51.0,2.0,1.0,1.0,6.0,40.0
CATHOLIC,1.0,30.0,10.0,3.0,About once a month,3.0,16.0,1.0,CATHOLIC,Not very strong,Less than high school,85.0,1.0,3.0,1.0,4.0,
CATHOLIC,2.0,29.0,16.0,1.0,About once a month,5.0,24.0,2.0,CATHOLIC,Not very strong,Bachelor's,49.0,2.0,1.0,1.0,6.0,
CATHOLIC,2.0,19.0,16.0,2.0,2-3 times a month,5.0,25.0,1.0,CATHOLIC,Not very strong,Graduate,68.0,2.0,1.0,1.0,3.0,
PROTESTANT,2.0,25.0,17.0,2.0,Never,6.0,26.0,1.0,NONE,Strong,Associate/junior college,70.0,2.0,1.0,1.0,4.0,
PROTESTANT,3.0,23.0,12.0,2.0,Never,6.0,17.0,1.0,PROTESTANT,Not very strong,High school,74.0,1.0,1.0,2.0,2.0,
CATHOLIC,3.0,21.0,12.0,1.0,Every week,6.0,21.0,1.0,CATHOLIC,Strong,High school,68.0,2.0,1.0,1.0,6.0,10.0
CHRISTIAN,2.0,31.0,16.0,2.0,About once a month,6.0,25.0,2.0,CATHOLIC,Not very strong,Bachelor's,46.0,2.0,1.0,1.0,6.0,38.0
PROTESTANT,2.0,25.0,14.0,2.0,Several times a year,6.0,25.0,2.0,PROTESTANT,Strong,Associate/junior college,51.0,2.0,1.0,1.0,4.0,24.0
PROTESTANT,2.0,25.0,12.0,1.0,Every week,6.0,23.0,1.0,PROTESTANT,Strong,High school,66.0,1.0,1.0,3.0,6.0,
NONE,1.0,30.0,14.0,2.0,About once or twice a year,2.0,26.0,1.0,NONE,No religion,High school,43.0,1.0,1.0,5.0,5.0,30.0
PROTESTANT,3.0,22.0,11.0,2.0,Never,6.0,,1.0,PROTESTANT,Not very strong,Less than high school,74.0,2.0,1.0,2.0,5.0,
PROTESTANT,3.0,28.0,18.0,2.0,Several times a year,5.0,21.0,1.0,CATHOLIC,Not very strong,Graduate,74.0,1.0,1.0,1.0,6.0,
CATHOLIC,4.0,20.0,12.0,1.0,Less than once a year,6.0,23.0,1.0,CATHOLIC,Not very strong,High school,85.0,1.0,1.0,1.0,2.0,
PROTESTANT,0.0,,16.0,2.0,About once or twice a year,5.0,18.0,1.0,PROTESTANT,Not very strong,Bachelor's,49.0,1.0,1.0,3.0,1.0,40.0
ORTHODOX-CHRISTIAN,2.0,25.0,12.0,2.0,Never,6.0,,2.0,ORTHODOX-CHRISTIAN,Strong,High school,46.0,2.0,1.0,1.0,4.0,
PROTESTANT,4.0,30.0,17.0,1.0,Never,6.0,24.0,1.0,CATHOLIC,Strong,Bachelor's,37.0,2.0,1.0,1.0,4.0,
PROTESTANT,6.0,19.0,11.0,3.0,About once a month,6.0,11.0,1.0,PROTESTANT,Strong,Less than high school,41.0,2.0,1.0,4.0,5.0,39.0
NONE,1.0,19.0,12.0,2.0,Several times a year,3.0,16.0,2.0,PROTESTANT,No religion,High school,22.0,1.0,1.0,1.0,3.0,48.0
CATHOLIC,1.0,23.0,16.0,2.0,About once a month,5.0,16.0,2.0,CATHOLIC,Not very strong,Graduate,43.0,2.0,1.0,1.0,4.0,50.0
PROTESTANT,4.0,24.0,16.0,1.0,Every week,6.0,20.0,1.0,PROTESTANT,Strong,Bachelor's,73.0,2.0,1.0,1.0,4.0,
PROTESTANT,1.0,32.0,16.0,1.0,Every week,6.0,18.0,2.0,PROTESTANT,Strong,Bachelor's,34.0,2.0,1.0,1.0,5.0,
PROTESTANT,3.0,12.0,14.0,2.0,Never,3.0,10.0,1.0,PROTESTANT,Not very strong,High school,87.0,1.0,1.0,2.0,4.0,
PROTESTANT,0.0,,18.0,1.0,2-3 times a month,6.0,16.0,1.0,PROTESTANT,Not very strong,Graduate,32.0,2.0,1.0,5.0,2.0,
CATHOLIC,1.0,22.0,14.0,1.0,About once or twice a year,6.0,16.0,2.0,CATHOLIC,Not very strong,High school,31.0,2.0,1.0,3.0,4.0,45.0
PROTESTANT,2.0,32.0,12.0,2.0,About once a month,1.0,9.0,1.0,PROTESTANT,Somewhat strong (vol.),High school,69.0,1.0,1.0,3.0,3.0,
PROTESTANT,0.0,,12.0,2.0,Never,2.0,10.0,1.0,PROTESTANT,Not very strong,High school,77.0,1.0,1.0,5.0,6.0,
CATHOLIC,2.0,36.0,13.0,2.0,Less than once a year,5.0,1.0,1.0,PROTESTANT,Somewhat strong (vol.),High school,52.0,1.0,1.0,3.0,4.0,
NONE,0.0,,15.0,1.0,Never,1.0,21.0,1.0,PROTESTANT,No religion,High school,37.0,1.0,1.0,3.0,2.0,45.0
NONE,0.0,,12.0,2.0,Never,1.0,15.0,1.0,CATHOLIC,No religion,High school,52.0,1.0,1.0,5.0,5.0,40.0
NONE,0.0,,16.0,1.0,Never,3.0,22.0,1.0,PROTESTANT,No religion,Bachelor's,38.0,2.0,3.0,5.0,3.0,40.0
NONE,4.0,25.0,11.0,2.0,Several times a year,6.0,3.0,1.0,PROTESTANT,No religion,High school,55.0,1.0,3.0,3.0,5.0,25.0
PROTESTANT,3.0,27.0,13.0,2.0,Every week,5.0,17.0,1.0,PROTESTANT,Strong,High school,75.0,2.0,1.0,1.0,4.0,
CATHOLIC,1.0,20.0,14.0,1.0,2-3 times a month,6.0,19.0,1.0,CATHOLIC,Strong,High school,50.0,2.0,1.0,1.0,5.0,50.0
NONE,1.0,19.0,12.0,2.0,Never,2.0,18.0,2.0,NONE,No religion,High school,25.0,2.0,1.0,5.0,3.0,52.0
PROTESTANT,2.0,20.0,12.0,1.0,About once or twice a year,5.0,19.0,1.0,NONE,Strong,High school,28.0,1.0,1.0,1.0,4.0,55.0
PROTESTANT,3.0,25.0,16.0,3.0,Every week,6.0,5.0,1.0,PROTESTANT,Strong,Bachelor's,76.0,1.0,1.0,3.0,4.0,
NAN,6.0,24.0,16.0,1.0,Every week,5.0,26.0,2.0,PROTESTANT,,Bachelor's,52.0,1.0,1.0,1.0,4.0,40.0
PROTESTANT,0.0,,12.0,3.0,About once a month,6.0,20.0,2.0,PROTESTANT,Strong,High school,22.0,1.0,1.0,5.0,6.0,40.0
NONE,1.0,24.0,11.0,1.0,Never,5.0,18.0,2.0,PROTESTANT,No religion,Less than high school,57.0,1.0,1.0,2.0,2.0,35.0
PROTESTANT,5.0,17.0,8.0,2.0,Several times a week,6.0,13.0,1.0,PROTESTANT,Strong,Less than high school,84.0,2.0,1.0,3.0,4.0,
PROTESTANT,2.0,23.0,14.0,2.0,Several times a year,6.0,23.0,1.0,PROTESTANT,Strong,High school,63.0,2.0,1.0,1.0,4.0,40.0
PROTESTANT,3.0,22.0,20.0,2.0,Every week,6.0,22.0,1.0,PROTESTANT,Strong,Graduate,58.0,2.0,2.0,2.0,3.0,55.0
NONE,1.0,21.0,11.0,1.0,Never,6.0,21.0,1.0,PROTESTANT,No religion,High school,43.0,2.0,1.0,1.0,4.0,
PROTESTANT,0.0,,13.0,1.0,About once or twice a year,5.0,16.0,1.0,PROTESTANT,Not very strong,High school,25.0,2.0,1.0,5.0,5.0,50.0
PROTESTANT,0.0,,10.0,2.0,About once or twice a year,6.0,16.0,2.0,PROTESTANT,Not very strong,Less than high school,39.0,1.0,1.0,1.0,5.0,40.0
NONE,3.0,20.0,15.0,2.0,About once or twice a year,5.0,17.0,2.0,CATHOLIC,No religion,Associate/junior college,31.0,2.0,1.0,5.0,5.0,40.0
PROTESTANT,2.0,25.0,12.0,2.0,Several times a week,6.0,17.0,2.0,PROTESTANT,Strong,High school,39.0,2.0,1.0,3.0,6.0,45.0
PROTESTANT,3.0,17.0,12.0,2.0,Several times a year,6.0,17.0,2.0,PROTESTANT,Not very strong,High school,34.0,2.0,2.0,5.0,5.0,38.0
PROTESTANT,0.0,,14.0,2.0,Nearly every week,6.0,19.0,1.0,PROTESTANT,Somewhat strong (vol.),Associate/junior college,27.0,1.0,1.0,1.0,4.0,40.0
NONE,0.0,,16.0,3.0,Never,3.0,18.0,3.0,CATHOLIC,No religion,High school,35.0,1.0,1.0,5.0,4.0,43.0
PROTESTANT,0.0,,17.0,1.0,Never,6.0,18.0,1.0,NONE,Somewhat strong (vol.),High school,24.0,2.0,1.0,5.0,2.0,40.0
PROTESTANT,2.0,22.0,16.0,2.0,Several times a year,5.0,20.0,1.0,PROTESTANT,Not very strong,Bachelor's,48.0,1.0,1.0,5.0,4.0,40.0
NONE,0.0,,14.0,2.0,About once a month,3.0,25.0,1.0,CATHOLIC,No religion,High school,21.0,1.0,1.0,5.0,3.0,
PROTESTANT,0.0,,15.0,2.0,Never,3.0,19.0,1.0,PROTESTANT,Not very strong,High school,30.0,1.0,1.0,5.0,5.0,64.0
NONE,1.0,26.0,15.0,2.0,Never,3.0,23.0,1.0,,No religion,High school,36.0,1.0,3.0,5.0,5.0,60.0
NONE,0.0,,12.0,1.0,Never,2.0,10.0,1.0,NONE,No religion,High school,52.0,1.0,1.0,5.0,1.0,
CATHOLIC,2.0,33.0,17.0,1.0,About once a month,5.0,26.0,2.0,CATHOLIC,Strong,Graduate,36.0,1.0,1.0,1.0,4.0,50.0
PROTESTANT,0.0,,18.0,2.0,Several times a week,6.0,23.0,1.0,PROTESTANT,Strong,Graduate,80.0,2.0,1.0,2.0,2.0,
NONE,0.0,,16.0,3.0,About once a month,3.0,16.0,1.0,NONE,No religion,Bachelor's,27.0,2.0,1.0,5.0,3.0,40.0
NONE,0.0,,18.0,2.0,About once or twice a year,3.0,14.0,1.0,PROTESTANT,No religion,Bachelor's,24.0,2.0,1.0,5.0,3.0,42.0
CATHOLIC,2.0,24.0,12.0,2.0,About once or twice a year,5.0,20.0,4.0,CATHOLIC,Not very strong,High school,44.0,2.0,1.0,3.0,4.0,40.0
CATHOLIC,5.0,28.0,11.0,2.0,Never,6.0,14.0,1.0,CATHOLIC,Strong,Less than high school,89.0,1.0,1.0,1.0,4.0,
PROTESTANT,0.0,,13.0,1.0,Less than once a year,3.0,20.0,2.0,PROTESTANT,Somewhat strong (vol.),High school,22.0,1.0,2.0,5.0,1.0,40.0
PROTESTANT,4.0,23.0,12.0,3.0,Every week,6.0,19.0,2.0,PROTESTANT,Not very strong,High school,48.0,1.0,3.0,1.0,5.0,
CATHOLIC,3.0,17.0,9.0,1.0,Every week,6.0,13.0,2.0,CATHOLIC,Not very strong,Less than high school,33.0,2.0,1.0,5.0,2.0,40.0
CATHOLIC,2.0,22.0,12.0,1.0,About once or twice a year,6.0,8.0,4.0,CATHOLIC,Not very strong,Less than high school,59.0,2.0,3.0,2.0,4.0,
NONE,0.0,,13.0,2.0,Less than once a year,1.0,18.0,1.0,CATHOLIC,No religion,High school,43.0,1.0,3.0,5.0,5.0,40.0
PROTESTANT,1.0,31.0,12.0,1.0,Several times a week,6.0,,5.0,PROTESTANT,Strong,Less than high school,32.0,2.0,3.0,1.0,2.0,
NONE,2.0,24.0,16.0,2.0,Never,3.0,,1.0,PROTESTANT,No religion,Associate/junior college,62.0,2.0,1.0,3.0,2.0,
NONE,2.0,28.0,12.0,2.0,Less than once a year,6.0,22.0,2.0,NONE,No religion,High school,53.0,2.0,1.0,1.0,5.0,20.0
CATHOLIC,2.0,29.0,13.0,1.0,Never,4.0,20.0,1.0,CATHOLIC,Not very strong,High school,59.0,2.0,1.0,1.0,6.0,32.0
NONE,3.0,19.0,12.0,2.0,Never,6.0,23.0,2.0,PROTESTANT,No religion,High school,47.0,1.0,1.0,1.0,6.0,70.0
CATHOLIC,0.0,,12.0,2.0,Never,6.0,18.0,2.0,CATHOLIC,Not very strong,High school,18.0,2.0,1.0,5.0,4.0,
PROTESTANT,2.0,19.0,12.0,2.0,Less than once a year,6.0,18.0,1.0,CATHOLIC,Not very strong,High school,64.0,1.0,1.0,2.0,4.0,30.0
PROTESTANT,0.0,,12.0,2.0,Never,6.0,,2.0,NONE,Strong,High school,22.0,1.0,1.0,5.0,3.0,22.0
CATHOLIC,0.0,,16.0,2.0,Never,2.0,25.0,1.0,CATHOLIC,Not very strong,Bachelor's,37.0,2.0,1.0,1.0,1.0,75.0
CATHOLIC,0.0,,16.0,1.0,Several times a year,5.0,19.0,1.0,CATHOLIC,Not very strong,Bachelor's,31.0,2.0,1.0,5.0,2.0,40.0
PROTESTANT,1.0,21.0,14.0,2.0,Every week,6.0,15.0,1.0,PROTESTANT,Strong,High school,72.0,2.0,1.0,2.0,4.0,
NONE,0.0,,16.0,2.0,Never,1.0,20.0,1.0,HINDUISM,No religion,Bachelor's,32.0,2.0,1.0,1.0,2.0,40.0
NONE,0.0,,16.0,1.0,Never,1.0,21.0,1.0,NONE,No religion,Bachelor's,69.0,1.0,1.0,1.0,2.0,
NONE,0.0,,16.0,1.0,Never,2.0,22.0,1.0,CATHOLIC,No religion,Bachelor's,32.0,2.0,1.0,5.0,1.0,45.0
CATHOLIC,0.0,,16.0,2.0,Less than once a year,5.0,18.0,1.0,CATHOLIC,Not very strong,Bachelor's,32.0,1.0,1.0,5.0,4.0,45.0
CATHOLIC,4.0,22.0,15.0,3.0,Less than once a year,5.0,17.0,1.0,CATHOLIC,Somewhat strong (vol.),Associate/junior college,60.0,2.0,1.0,3.0,5.0,35.0
CATHOLIC,2.0,22.0,5.0,1.0,Every week,6.0,10.0,1.0,CATHOLIC,Strong,Less than high school,70.0,1.0,1.0,2.0,7.0,
CATHOLIC,1.0,30.0,14.0,2.0,Several times a year,6.0,18.0,2.0,CATHOLIC,Strong,Associate/junior college,41.0,2.0,3.0,5.0,4.0,60.0
CHRISTIAN,0.0,,17.0,3.0,Never,2.0,9.0,1.0,PROTESTANT,Not very strong,Associate/junior college,35.0,2.0,1.0,5.0,2.0,
CATHOLIC,3.0,28.0,14.0,2.0,Every week,5.0,1.0,1.0,CATHOLIC,Strong,Associate/junior college,77.0,2.0,1.0,3.0,6.0,
CATHOLIC,1.0,24.0,10.0,3.0,About once or twice a year,3.0,12.0,1.0,CATHOLIC,Not very strong,High school,57.0,1.0,1.0,4.0,6.0,20.0
PROTESTANT,0.0,,15.0,2.0,About once or twice a year,5.0,9.0,1.0,PROTESTANT,Not very strong,High school,26.0,1.0,1.0,5.0,4.0,40.0
NONE,4.0,19.0,12.0,3.0,Never,5.0,14.0,1.0,PROTESTANT,No religion,High school,56.0,1.0,1.0,3.0,4.0,45.0
NONE,0.0,,16.0,2.0,Never,1.0,19.0,1.0,NONE,No religion,Bachelor's,24.0,1.0,1.0,5.0,3.0,55.0
PROTESTANT,3.0,15.0,11.0,2.0,About once or twice a year,6.0,8.0,4.0,PROTESTANT,Not very strong,Less than high school,56.0,2.0,2.0,5.0,2.0,
PROTESTANT,3.0,22.0,3.0,1.0,Every week,6.0,14.0,2.0,PROTESTANT,Strong,Less than high school,39.0,2.0,3.0,2.0,,32.0
PROTESTANT,0.0,,20.0,2.0,About once a month,5.0,18.0,1.0,PROTESTANT,Somewhat strong (vol.),Graduate,30.0,2.0,1.0,1.0,2.0,
