RELIG,CHILDS,AGEKDBRN,EDUC,HAPPY,ATTEND,GOD,INCOME16,FAMGEN,RELIG16,RELITEN,DEGREE,AGE,SEX,RACE,MARITAL,POLVIEWS,HRS1
CATHOLIC,2.0,33.0,16.0,2.0,About once a month,6.0,23.0,2.0,CATHOLIC,Strong,Bachelor's,43.0,2.0,1.0,1.0,4.0,
PROTESTANT,2.0,19.0,14.0,3.0,Never,6.0,8.0,2.0,PROTESTANT,,High school,45.0,2.0,2.0,5.0,,
CATHOLIC,0.0,,11.0,2.0,Several times a year,6.0,20.0,2.0,CATHOLIC,Strong,Less than high school,23.0,1.0,1.0,5.0,6.0,35.0
NONE,2.0,21.0,9.0,3.0,Never,3.0,7.0,2.0,PROTESTANT,No religion,High school,28.0,2.0,2.0,4.0,4.0,29.0
OTHER,1.0,21.0,13.0,2.0,About once or twice a year,6.0,5.0,2.0,PROTESTANT,Not very strong,High school,27.0,2.0,2.0,1.0,2.0,
PROTESTANT,3.0,14.0,10.0,3.0,About once or twice a year,6.0,17.0,2.0,PROTESTANT,Not very strong,Less than high school,42.0,2.0,2.0,1.0,1.0,25.0
PROTESTANT,0.0,,16.0,2.0,Every week,6.0,19.0,1.0,PROTESTANT,Strong,Bachelor's,41.0,2.0,2.0,5.0,4.0,35.0
PROTESTANT,1.0,25.0,13.0,2.0,Several times a week,6.0,17.0,1.0,PROTESTANT,Strong,High school,64.0,2.0,2.0,2.0,4.0,
NONE,4.0,,12.0,2.0,Never,6.0,,1.0,NONE,No religion,Less than high school,53.0,1.0,2.0,5.0,4.0,
PROTESTANT,4.0,20.0,20.0,3.0,Several times a year,6.0,13.0,1.0,PROTESTANT,Not very strong,Graduate,79.0,1.0,2.0,3.0,2.0,
PROTESTANT,3.0,24.0,14.0,2.0,Less than once a year,5.0,22.0,1.0,PROTESTANT,Not very strong,High school,34.0,1.0,1.0,1.0,6.0,45.0
PROTESTANT,3.0,25.0,14.0,1.0,Several times a week,6.0,25.0,2.0,PROTESTANT,Strong,High school,59.0,2.0,2.0,4.0,4.0,
PROTESTANT,0.0,,19.0,2.0,Nearly every week,6.0,24.0,1.0,PROTESTANT,Strong,Graduate,32.0,2.0,2.0,5.0,3.0,55.0
PROTESTANT,3.0,16.0,16.0,1.0,Never,6.0,11.0,2.0,PROTESTANT,Strong,Bachelor's,33.0,2.0,2.0,1.0,1.0,
CATHOLIC,0.0,,15.0,2.0,Several times a year,6.0,8.0,1.0,PROTESTANT,Not very strong,High school,35.0,1.0,1.0,5.0,4.0,
PROTESTANT,0.0,,16.0,2.0,Less than once a year,5.0,24.0,1.0,PROTESTANT,Not very strong,Associate/junior college,37.0,1.0,2.0,1.0,2.0,75.0
NONE,0.0,,16.0,1.0,Never,3.0,20.0,1.0,CATHOLIC,No religion,Bachelor's,28.0,2.0,3.0,1.0,3.0,
CATHOLIC,2.0,28.0,20.0,2.0,About once a month,2.0,26.0,1.0,CATHOLIC,Not very strong,Graduate,42.0,2.0,1.0,1.0,2.0,45.0
NONE,0.0,,14.0,2.0,Never,2.0,22.0,2.0,CATHOLIC,No religion,High school,21.0,1.0,1.0,5.0,2.0,35.0
PROTESTANT,2.0,25.0,14.0,1.0,Never,6.0,26.0,5.0,CATHOLIC,Somewhat strong (vol.),Associate/junior college,33.0,2.0,2.0,5.0,6.0,32.0
CATHOLIC,2.0,29.0,16.0,1.0,Several times a year,4.0,26.0,2.0,CATHOLIC,Not very strong,Bachelor's,37.0,2.0,1.0,1.0,4.0,50.0
CATHOLIC,3.0,17.0,8.0,2.0,Several times a year,6.0,20.0,1.0,CATHOLIC,Strong,Less than high school,89.0,2.0,1.0,2.0,4.0,
PROTESTANT,0.0,,16.0,2.0,Never,3.0,22.0,1.0,PROTESTANT,Not very strong,Bachelor's,71.0,2.0,2.0,1.0,2.0,
NAN,1.0,33.0,12.0,2.0,,6.0,24.0,1.0,CHRISTIAN,,High school,42.0,2.0,2.0,1.0,,40.0
CATHOLIC,1.0,22.0,12.0,1.0,Less than once a year,5.0,19.0,1.0,CATHOLIC,Not very strong,High school,37.0,2.0,3.0,3.0,4.0,40.0
CATHOLIC,4.0,19.0,13.0,1.0,2-3 times a month,3.0,20.0,2.0,CATHOLIC,Not very strong,High school,40.0,2.0,1.0,1.0,7.0,40.0
CATHOLIC,4.0,25.0,12.0,2.0,Never,6.0,18.0,1.0,CATHOLIC,Not very strong,High school,70.0,1.0,1.0,4.0,6.0,20.0
NONE,0.0,,17.0,2.0,Never,3.0,19.0,1.0,CATHOLIC,No religion,Bachelor's,28.0,1.0,2.0,5.0,3.0,42.0
PROTESTANT,2.0,26.0,13.0,2.0,Every week,6.0,17.0,2.0,CATHOLIC,Strong,High school,53.0,2.0,3.0,5.0,2.0,40.0
NONE,2.0,32.0,16.0,2.0,Never,5.0,26.0,2.0,NONE,No religion,High school,46.0,1.0,1.0,1.0,1.0,
PROTESTANT,0.0,,18.0,2.0,Several times a year,3.0,22.0,1.0,CATHOLIC,Not very strong,Graduate,55.0,1.0,1.0,1.0,2.0,35.0
MUSLIM/ISLAM,0.0,,18.0,2.0,Every week,6.0,8.0,1.0,MUSLIM/ISLAM,Strong,Graduate,28.0,1.0,3.0,5.0,4.0,35.0
NONE,0.0,,16.0,2.0,Never,5.0,22.0,1.0,CATHOLIC,No religion,Graduate,42.0,1.0,1.0,5.0,4.0,
PROTESTANT,0.0,,19.0,3.0,Every week,4.0,23.0,1.0,PROTESTANT,Strong,Graduate,77.0,2.0,1.0,1.0,1.0,3.0
HINDUISM,0.0,,16.0,1.0,Several times a year,6.0,,1.0,HINDUISM,Not very strong,Graduate,29.0,1.0,3.0,5.0,3.0,30.0
NONE,1.0,25.0,12.0,3.0,Every week,,,1.0,PROTESTANT,No religion,Less than high school,62.0,2.0,2.0,2.0,2.0,
PROTESTANT,2.0,25.0,16.0,2.0,Several times a year,6.0,22.0,1.0,CATHOLIC,Strong,Bachelor's,30.0,2.0,2.0,5.0,2.0,40.0
